Bytes Used	Count		Symbol Name
  90.29 MB      15.6%	90	 	                                                   [j]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V[clinit]
  90.29 MB      15.6%	90	 	                                                    [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V
  90.29 MB      15.6%	90	 	                                                     [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;I)V
  90.29 MB      15.6%	90	 	                                                      [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2D(IIIIIIIILjava/nio/Buffer;)V
  90.29 MB      15.6%	90	 	                                                       [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2DJNI(IIIIIIIILjava/nio/Buffer;)V
  90.29 MB      15.6%	90	 	                                                        Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI
  90.29 MB      15.6%	90	 	                                                         Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI__IIIIIIIILjava_nio_Buffer_2
  90.29 MB      15.6%	90	 	                                                          glTexImage2D
  90.29 MB      15.6%	90	 	                                                           glTexImage2D_Exec
  69.66 MB      12.0%	88	 	                                                            gldModifyTexSubImage
  69.66 MB      12.0%	88	 	                                                             GLDTextureRec::load()
  69.66 MB      12.0%	88	 	                                                              GLDTextureRec::update(unsigned int, unsigned short*)
  69.66 MB      12.0%	66	 	                                                               GLDTextureRec::loadPrivateTexture(unsigned int, unsigned short*)
  69.66 MB      12.0%	66	 	                                                                GLDTextureRec::allocMetalTexture()
  69.65 MB      12.0%	44	 	                                                                 -[AGXTexture initWithDevice:desc:isSuballocDisabled:]
  69.63 MB      12.0%	22	 	                                                                  -[IOGPUMetalTexture initWithDevice:descriptor:sysMemSize:sysMemRowBytes:vidMemSize:vidMemRowBytes:args:argsSize:]
  69.63 MB      12.0%	22	 	                                                                   -[IOGPUMetalResource initWithDevice:options:args:argsSize:]
  69.63 MB      12.0%	22	 	                                                                    IOGPUResourceCreate
  20.62 MB       3.5%	2	 	                                                            gfxAllocateTextureLevel
