Bytes Used	Count		Symbol Name
 146.61 MB      23.6%	377	 	                                                  Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI__IIIIIIIILjava_nio_Buffer_2
 146.61 MB      23.6%	377	 	                                                   glTexImage2D
 146.61 MB      23.6%	377	 	                                                    glTexImage2D_Exec
 146.61 MB      23.6%	377	 	                                                     gldModifyTexSubImage
 146.61 MB      23.6%	377	 	                                                      GLDTextureRec::load()
 146.61 MB      23.6%	377	 	                                                       GLDTextureRec::update(unsigned int, unsigned short*)
 146.59 MB      23.6%	283	 	                                                        GLDTextureRec::loadPrivateTexture(unsigned int, unsigned short*)
 146.59 MB      23.6%	283	 	                                                         GLDTextureRec::allocMetalTexture()
 146.56 MB      23.6%	189	 	                                                          -[AGXTexture initWithDevice:desc:isSuballocDisabled:]
 146.47 MB      23.6%	95	 	                                                           -[IOGPUMetalTexture initWithDevice:descriptor:sysMemSize:sysMemRowBytes:vidMemSize:vidMemRowBytes:args:argsSize:]
 146.47 MB      23.6%	95	 	                                                            -[IOGPUMetalResource initWithDevice:options:args:argsSize:]
 146.46 MB      23.6%	94	 	                                                             IOGPUResourceCreate
 146.70 MB      23.6%	572	 	                                [J]forge.assets.FSkinFont$1$1.<init>(Lforge/assets/FSkinFont$1;Lcom/badlogic/gdx/graphics/TextureData;)V
 146.70 MB      23.6%	572	 	                                 [J]com.badlogic.gdx.graphics.Texture.<init>(Lcom/badlogic/gdx/graphics/TextureData;)V
 146.70 MB      23.6%	572	 	                                  [J]com.badlogic.gdx.graphics.Texture.<init>(IILcom/badlogic/gdx/graphics/TextureData;)V
 146.70 MB      23.6%	572	 	                                   [J]com.badlogic.gdx.graphics.Texture.load(Lcom/badlogic/gdx/graphics/TextureData;)V
 146.60 MB      23.6%	383	 	                                    [j]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V[clinit]
 146.60 MB      23.6%	383	 	                                     [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;)V
 146.60 MB      23.6%	383	 	                                      [J]com.badlogic.gdx.graphics.GLTexture.uploadImageData(ILcom/badlogic/gdx/graphics/TextureData;I)V
 146.60 MB      23.6%	383	 	                                       [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2D(IIIIIIIILjava/nio/Buffer;)V
 146.60 MB      23.6%	383	 	                                        [J]com.badlogic.gdx.backends.iosrobovm.IOSGLES20.glTexImage2DJNI(IIIIIIIILjava/nio/Buffer;)V
 146.60 MB      23.6%	383	 	                                         Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI
 146.60 MB      23.6%	383	 	                                          Java_com_badlogic_gdx_backends_iosrobovm_IOSGLES20_glTexImage2DJNI__IIIIIIIILjava_nio_Buffer_2
 146.60 MB      23.6%	383	 	                                           glTexImage2D
 146.60 MB      23.6%	383	 	                                            glTexImage2D_Exec
 146.60 MB      23.6%	383	 	                                             gldModifyTexSubImage
 146.60 MB      23.6%	383	 	                                              GLDTextureRec::load()
 146.60 MB      23.6%	383	 	                                               GLDTextureRec::update(unsigned int, unsigned short*)
 146.59 MB      23.6%	289	 	                                                GLDTextureRec::loadPrivateTexture(unsigned int, unsigned short*)
 146.59 MB      23.6%	289	 	                                                 GLDTextureRec::allocMetalTexture()
 146.56 MB      23.6%	195	 	                                                  -[AGXTexture initWithDevice:desc:isSuballocDisabled:]
 146.46 MB      23.6%	94	 	                                                   -[IOGPUMetalTexture initWithDevice:descriptor:sysMemSize:sysMemRowBytes:vidMemSize:vidMemRowBytes:args:argsSize:]
 146.46 MB      23.6%	94	 	                                                    -[IOGPUMetalResource initWithDevice:options:args:argsSize:]
 146.46 MB      23.6%	94	 	                                                     IOGPUResourceCreate
  49.22 MB       7.9%	90	 	                               [J]forge.screens.LoadingOverlay$$Lambda$4.run()V
  49.22 MB       7.9%	90	 	                                [j]forge.screens.LoadingOverlay.lambda$show$1(Ljava/lang/Runnable;Lforge/screens/LoadingOverlay;)V[clinit]
  49.22 MB       7.9%	90	 	                                 [J]forge.screens.LoadingOverlay.lambda$show$1(Ljava/lang/Runnable;Lforge/screens/LoadingOverlay;)V
  49.22 MB       7.9%	90	 	                                  [J]forge.screens.limited.NewDraftScreen$$Lambda$1.run()V
  49.22 MB       7.9%	90	 	                                   [j]forge.gamemodes.limited.BoosterDraft.initializeCustomDrafts()V[clinit]
  49.22 MB       7.9%	90	 	                                    [J]forge.gamemodes.limited.BoosterDraft.initializeCustomDrafts()V
  49.22 MB       7.9%	90	 	                                     [J]forge.gamemodes.limited.BoosterDraft.loadCustomDrafts()Ljava/util/List;
  49.22 MB       7.9%	90	 	                                      [j]forge.util.StreamUtil.completableFutureSupplyAsync(Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;[clinit]
  49.22 MB       7.9%	90	 	                                       [J]forge.util.StreamUtil.completableFutureSupplyAsync(Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;
